,target_path,left_path,right_path,left_correct,block_type,target_name,rotated,symmetrical,hi_difficulty,open
0,stimuli_left/targets/C4.png,stimuli_left/contexts/test/054b.png,stimuli_left/contexts/test/054a.png,False,test,C4,False,True,False,True
1,stimuli_left/targets/C1_rotated.png,stimuli_left/contexts/test/006a_rotated.png,stimuli_left/contexts/test/006b_rotated.png,True,test,C1,True,True,False,True
2,stimuli_left/targets/D4.png,stimuli_left/contexts/test/051b_novel.png,stimuli_left/contexts/test/051a_novel.png,False,test,D4,False,False,True,True
3,stimuli_left/targets/A3.png,stimuli_left/contexts/test/047b_novel.png,stimuli_left/contexts/test/047a_novel.png,False,test,A3,False,True,True,False
5,stimuli_left/targets/D2.png,stimuli_left/contexts/control/018a_novel.png,stimuli_left/contexts/control/018b_novel.png,True,control,D2,False,False,False,True
6,stimuli_left/targets/D1_rotated.png,stimuli_left/contexts/control/002b_rotated.png,stimuli_left/contexts/control/002a_rotated.png,False,control,D1,True,False,False,True
7,stimuli_left/targets/A2.png,stimuli_left/contexts/control/030b.png,stimuli_left/contexts/control/030a.png,False,control,A2,False,True,False,False
8,stimuli_left/targets/D3.png,stimuli_left/contexts/control/035b_novel.png,stimuli_left/contexts/control/035a_novel.png,False,control,D3,False,False,True,True
9,stimuli_left/targets/C4.png,stimuli_left/contexts/control/055a.png,stimuli_left/contexts/control/055b.png,True,control,C4,False,True,True,True
10,stimuli_left/targets/D2_rotated.png,stimuli_left/contexts/control/019a_rotated.png,stimuli_left/contexts/control/019b_rotated.png,True,control,D2,True,False,True,True
11,stimuli_left/targets/B4_rotated.png,stimuli_left/contexts/control/058b_novel_rotated.png,stimuli_left/contexts/control/058a_novel_rotated.png,False,control,B4,True,False,False,False
12,stimuli_left/targets/B3.png,stimuli_left/contexts/control/042b_novel.png,stimuli_left/contexts/control/042a_novel.png,False,control,B3,False,False,False,False
14,stimuli_left/targets/A1.png,stimuli_left/contexts/control/015a_novel.png,stimuli_left/contexts/control/015b_novel.png,True,control,A1,False,True,True,False
15,stimuli_left/targets/C3.png,stimuli_left/contexts/control/039b.png,stimuli_left/contexts/control/039a.png,False,control,C3,False,True,True,True
16,stimuli_left/targets/D4_rotated.png,stimuli_left/contexts/control/051a_novel_rotated.png,stimuli_left/contexts/control/051b_novel_rotated.png,True,control,D4,True,False,True,True
17,stimuli_left/targets/C2.png,stimuli_left/contexts/control/022a.png,stimuli_left/contexts/control/022b.png,True,control,C2,False,True,False,True
18,stimuli_left/targets/B4.png,stimuli_left/contexts/control/058a.png,stimuli_left/contexts/control/058b.png,True,control,B4,False,False,False,False
19,stimuli_left/targets/C4.png,stimuli_left/contexts/control/054b_novel.png,stimuli_left/contexts/control/054a_novel.png,False,control,C4,False,True,False,True
20,stimuli_left/targets/B1_rotated.png,stimuli_left/contexts/control/011b_rotated.png,stimuli_left/contexts/control/011a_rotated.png,False,control,B1,True,False,True,False
21,stimuli_left/targets/C3.png,stimuli_left/contexts/control/038a_novel.png,stimuli_left/contexts/control/038b_novel.png,True,control,C3,False,True,False,True
22,stimuli_left/targets/A2.png,stimuli_left/contexts/test/030b_novel.png,stimuli_left/contexts/test/030a_novel.png,False,test,A2,False,True,False,False
